ZONA,FECHA,HORA,ID_QUEJA,LATITUD,GRAVEDAD,LONGITUD,DELITO,TIPO_LUGAR
MANHATTAN,2025-05-17,16:55:00,306587397,40.734139,FELONY,-74.003767,ROBBERY,STREET
MANHATTAN,2025-08-21,18:30:00,311585803,40.710562,FELONY,-74.008405,ROBBERY,STREET
MANHATTAN,2025-05-02,08:52:00,305722198,40.711284,FELONY,-74.010635,FELONY ASSAULT,STREET
MANHATTAN,2025-09-08,21:00:00,312566979,40.73022691,FELONY,-74.00685536,ROBBERY,STREET
MANHATTAN,2025-09-24,13:33:00,313401495,40.75383175,FELONY,-74.00713932,FELONY ASSAULT,STREET
MANHATTAN,2025-04-04,01:55:00,304165918,40.71014851,FELONY,-74.01266778,FELONY ASSAULT,No Especificado
MANHATTAN,2025-05-28,15:40:00,307170172,40.724343,FELONY,-74.005392,ROBBERY,STREET
MANHATTAN,2025-08-02,13:08:00,310592450,40.713894,FELONY,-74.006547,ROBBERY,COMMERCIAL BUILDING
MANHATTAN,2025-09-04,19:35:00,312402422,40.741973,FELONY,-74.004639,BURGLARY,CLOTHING/BOUTIQUE
MANHATTAN,2025-02-24,14:15:00,301592382,40.71313543862,FELONY,-74.00405805807,ROBBERY,TRANSIT - NYC SUBWAY
MANHATTAN,2025-03-04,15:00:00,302077774,40.71313543,FELONY,-74.00405805,FELONY ASSAULT,TRANSIT - NYC SUBWAY
MANHATTAN,2025-03-31,22:20:00,303950540,40.708704,FELONY,-74.010931,BURGLARY,STORE UNCLASSIFIED
MANHATTAN,2025-09-06,23:00:00,312487806,40.717801,FELONY,-74.010611,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-09-07,16:00:00,312510985,40.720537,FELONY,-74.007583,FELONY ASSAULT,OTHER
MANHATTAN,2025-06-04,23:00:00,307573806,40.748674,FELONY,-74.003464,FELONY ASSAULT,RESTAURANT/DINER
MANHATTAN,2025-09-01,14:22:00,312193784,40.702484,FELONY,-74.008547,FELONY ASSAULT,OPEN AREAS (OPEN LOTS)
MANHATTAN,2025-09-20,01:00:00,313206842,40.728721,FELONY,-74.005305,FELONY ASSAULT,STREET
MANHATTAN,2025-05-16,23:30:00,306564891,40.709141,FELONY,-74.00686,ROBBERY,OTHER
MANHATTAN,2025-08-30,13:16:00,312126094,40.710038,FELONY,-74.01146,BURGLARY,CLOTHING/BOUTIQUE
MANHATTAN,2025-01-04,19:30:00,299016975,40.727408,FELONY,-74.008084,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-09-13,19:15:00,312876097,40.723078,FELONY,-74.005754,BURGLARY,COMMERCIAL BUILDING
MANHATTAN,2025-06-12,18:55:00,307997880,40.71022031,FELONY,-74.00774423,FELONY ASSAULT,TRANSIT - NYC SUBWAY
MANHATTAN,2025-04-01,20:00:00,304008701,40.709884,FELONY,-74.008083,ROBBERY,CHAIN STORE
MANHATTAN,2025-05-08,18:00:00,306101620,40.72440258,FELONY,-74.00603941,FELONY ASSAULT,STREET
MANHATTAN,2025-08-02,11:30:00,310591050,40.710695,FELONY,-74.005348,FELONY ASSAULT,HOSPITAL
MANHATTAN,2025-05-19,22:25:00,306681069,40.70358847,FELONY,-74.01311376,FELONY ASSAULT,TRANSIT - NYC SUBWAY
MANHATTAN,2025-07-29,02:40:00,310364555,40.72966,FELONY,-74.004565,BURGLARY,GROCERY/BODEGA
MANHATTAN,2025-04-29,02:21:00,305498685,40.70240825,FELONY,-74.012825,ROBBERY,STREET
MANHATTAN,2025-02-28,06:00:00,301822721,40.708667,FELONY,-74.005034,ROBBERY,STREET
MANHATTAN,2025-04-21,19:32:00,305097880,40.711148,FELONY,-74.008833,ROBBERY,CLOTHING/BOUTIQUE
MANHATTAN,2025-04-28,14:50:00,305474640,40.715941,FELONY,-74.003783,FELONY ASSAULT,PARKING LOT/GARAGE (PUBLIC)
MANHATTAN,2025-09-11,12:55:00,312733624,40.714616,FELONY,-74.011445,BURGLARY,DEPARTMENT STORE
MANHATTAN,2025-06-26,14:30:00,308699636,40.70752,FELONY,-74.007101,FELONY ASSAULT,RESIDENCE - APT. HOUSE
MANHATTAN,2025-05-29,21:30:00,307277885,40.707654,FELONY,-74.005753,ROBBERY,CHAIN STORE
MANHATTAN,2025-04-24,12:10:00,305279100,40.709723,FELONY,-74.006746,FELONY ASSAULT,RESIDENCE - APT. HOUSE
MANHATTAN,2025-05-22,09:45:00,306868356,40.713829,FELONY,-74.005566,BURGLARY,STORE UNCLASSIFIED
MANHATTAN,2025-07-04,11:33:00,309090619,40.714616,FELONY,-74.011445,BURGLARY,CHAIN STORE
MANHATTAN,2025-08-23,10:45:00,311730361,40.75296,FELONY,-74.00405,ROBBERY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-08-24,21:00:00,311857011,40.703823,FELONY,-74.013152,ROBBERY,STREET
MANHATTAN,2025-08-19,19:20:00,311460627,40.704306,FELONY,-74.01323,BURGLARY,COMMERCIAL BUILDING
MANHATTAN,2025-04-09,02:00:00,304434256,40.721112,FELONY,-74.004284,ROBBERY,STREET
MANHATTAN,2025-03-21,21:55:00,303389838,40.729143,FELONY,-74.00524,ROBBERY,FAST FOOD
MANHATTAN,2025-02-09,04:58:00,300807156,40.710562,FELONY,-74.008405,BURGLARY,COMMERCIAL BUILDING
MANHATTAN,2025-04-18,19:00:00,304985553,40.72970524,FELONY,-74.00920776,FELONY ASSAULT,STREET
MANHATTAN,2025-08-01,15:30:00,310667949,40.715063,FELONY,-74.006718,BURGLARY,RESIDENCE - APT. HOUSE
