ID_ZONA,NOMBRE_ZONA,CLUSTER,DEMANDA,MOVILIDAD,SEGURIDAD,PTOS_INTERES,COMPETENCIA,COSTE
MN0101,Financial District-Battery Park City,1,40.89,81.41,69.93,43.51,44.15,79.86
MN0102,Tribeca-Civic Center,1,36.42,56.01,65.43,20.68,63.51,60.71
MN0201,SoHo-Little Italy-Hudson Square,1,23.29,52.14,62.09,17.28,61.62,18.56
MN0202,Greenwich Village,1,41.97,30.14,46.78,64.5,38.61,75.43
MN0203,West Village,1,36.34,18.52,60.07,9.3,45.63,0.0
MN0302,Lower East Side,2,38.97,28.33,72.91,38.02,62.42,69.92
MN0303,East Village,1,37.93,18.25,74.0,50.62,25.49,57.69
MN0401,Chelsea-Hudson Yards,1,27.03,63.38,67.1,12.91,63.84,97.43
MN0402,Hell's Kitchen,1,34.95,10.47,29.17,18.77,10.57,58.58
MN0501,Midtown South-Flatiron-Union Square,3,30.15,98.89,7.32,30.54,24.92,94.41
MN0502,Midtown-Times Square,3,27.06,100.0,13.76,44.71,10.0,12.89
MN0601,Stuyvesant Town-Peter Cooper Village,4,60.6,0.0,95.92,20.0,90.0,49.97
MN0602,Gramercy,1,44.28,12.27,67.01,39.81,22.49,51.01
MN0603,Murray Hill-Kips Bay,1,41.34,0.0,63.91,60.29,75.05,18.9
MN0604,East Midtown-Turtle Bay,1,53.55,32.19,68.51,70.67,45.3,0.25
MN0701,Upper West Side-Lincoln Square,4,63.5,42.47,81.17,45.52,85.52,68.62
MN0702,Upper West Side (Central),4,65.39,31.1,90.62,23.36,72.42,73.73
MN0703,Upper West Side-Manhattan Valley,4,56.98,15.53,72.23,19.7,64.0,34.43
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,4,48.46,26.0,99.08,22.45,60.95,22.57
MN0802,Upper East Side-Carnegie Hill,4,51.17,74.58,77.08,23.21,92.52,12.68
MN0803,Upper East Side-Yorkville,4,60.03,7.12,87.6,7.3,56.11,31.33
MN0901,Morningside Heights,1,27.3,25.25,94.05,37.59,84.77,89.52
MN0902,Manhattanville-West Harlem,2,36.53,6.98,87.18,25.79,67.88,100.0
MN0903,Hamilton Heights-Sugar Hill,2,56.34,15.79,83.8,17.07,54.63,77.94
MN1001,Harlem (South),2,43.47,26.02,47.89,21.18,73.2,93.47
MN1002,Harlem (North),2,45.39,11.47,66.45,28.17,90.0,68.62
MN1101,East Harlem (South),2,45.61,18.43,60.91,35.44,30.69,0.0
MN1102,East Harlem (North),2,32.35,15.49,63.6,26.12,40.24,74.83
MN1201,Washington Heights (South),2,64.0,21.99,77.08,10.1,17.25,59.83
MN1202,Washington Heights (North),2,60.67,25.08,89.61,12.58,25.66,77.94
MN1203,Inwood,2,53.45,12.01,84.89,12.4,0.33,100.0
