NOMBRE_LUGAR,CATEGORIA,ZONA,LONGITUD,LATITUD
LITTLE FLOWER PLAYGROUND,Parques y Jardines,Manhattan,-73.988215938301,40.712523206571
PS 138 ANNEX,Educacion,Manhattan,-73.978160634649,40.737031772521
DR RONALD E MCNAIR PLAYGROUND,Parques y Jardines,Manhattan,-73.938079502269,40.802576084448
PS 133 FRED R MOORE,Educacion,Manhattan,-73.939430392088,40.80980976795
CITY COLLEGE WILLE ADMINISTRATION BUILDING,Educacion,Manhattan,-73.948747231714,40.819908375751
JUDITH S KAYE HIGH SCHOOL,Educacion,Manhattan,-73.944903825457,40.78363906297
PS 149 SOJOURNER TRUTH,Educacion,Manhattan,-73.948240416365,40.802565141442
CENTRAL PARK STRAWBERRY FIELDS,Parques y Jardines,Manhattan,-73.975225531651,40.775708961087
MELVILLE GALLERY,Cultura,Manhattan,-74.003315432469,40.707403603449
JOAN OF ARC ISLAND,Parques y Jardines,Manhattan,-73.976459217864,40.794234424217
UNITED NATIONS PLZ CONDO,Residencial,Manhattan,-73.965781644366,40.752289972327
STUYVESANT TOWN 530 E 20 540 E 20,Residencial,Manhattan,-73.976015602475,40.732971502463
MONTESSORI SCHOOL OF MANHATTAN BEACH ST,Educacion,Manhattan,-74.009419373227,40.720883352222
THOMAS PAINE PARK,Parques y Jardines,Manhattan,-74.002653425222,40.715015151344
HRA JOB CENTER UNION SQUARE #39,Administracion Publica,Manhattan,-73.988427210691,40.735768550435
BOTSWANA MISSION TO UN,Administracion Publica,Manhattan,-73.973438452876,40.753515838228
RIVERSIDE PARK 77 ST BALLFIELDS,Parques y Jardines,Manhattan,-73.985623447127,40.784570476927
HERNANDEZ HOUSE,Residencial,Manhattan,-73.989428176347,40.722227429464
COLUMBIA UNIVERSITY COLLEGE OF DENTAL MEDICINE,Educacion,Manhattan,-73.940481020169,40.840897613585
FT TRYON PARK NEW LEAF RESTROOM,Parques y Jardines,Manhattan,-73.932719600023,40.860655181403
SCYLLA PLAYGROUND,Parques y Jardines,Manhattan,-73.925541278741,40.783968648538
PARK AVENUE HOTEL,Comercial y Hoteles,Manhattan,-73.938925836435,40.804727511828
LOWER E SIDE II HOUSES BLDG 4,Residencial,Manhattan,-73.979278431498,40.723144085281
MOSAIC PREPARATORY ACADEMY,Educacion,Manhattan,-73.944284590766,40.795761396102
POLO GROUNDS TOWERS BLDG 3,Residencial,Manhattan,-73.938589624777,40.830968053241
SINGAPORE ECON DEVELOP BOARD,Administracion Publica,Manhattan,-73.970608480344,40.763492047792
LINCOLN HOUSES BUILDING 10,Residencial,Manhattan,-73.937556480205,40.810585730957
RIVERBANK PARK SERVICE BUILDING,Parques y Jardines,Manhattan,-73.956035239847,40.825273694806
JEWISH MUSEUM,Cultura,Manhattan,-73.957257376484,40.785382719821
1 EAST RIVER PLACE,Residencial,Manhattan,-73.951428195617,40.766490038677
SCHERMERHORN ROW,Monumentos y Plazas,Manhattan,-74.003829030579,40.70641628118
LOUIS F DESALVIO CORNER,Monumentos y Plazas,Manhattan,-73.99876006177,40.71845039734
FIRST HOUSES BUILDING 5,Residencial,Manhattan,-73.986175989773,40.723841369242
RADIO CITY POST OFFICE,Administracion Publica,Manhattan,-73.986379003331,40.763870977697
HIGHBRIDGE PARK FORT GEORGE HILL MOUNTAIN BIKE TRAIL,Parques y Jardines,Manhattan,-73.924659063859,40.859459552847
HARLEM VISTA HOTEL,Comercial y Hoteles,Manhattan,-73.937214565971,40.827304902111
ASPHALT GREEN FIELD BATTERY PARK CITY,Parques y Jardines,Manhattan,-74.014016351576,40.716074793366
SAMUEL J FRIEDMAN THEATRE,Cultura,Manhattan,-73.986782707875,40.760322975646
CCNY ADVANCED SCIENCE RESEARCH CENTER,Educacion,Manhattan,-73.950619830145,40.815720955819
COLUMBIA UNIVERSITY FURNALD HALL,Residencial,Manhattan,-73.963909729532,40.807439445344
LITTLE FLOWER PLAYGROUND COMFORT STATION,Parques y Jardines,Manhattan,-73.988588443581,40.71259171757
FRED SAMUEL PLAYGROUND,Parques y Jardines,Manhattan,-73.939181990118,40.817144413908
GRAND HYATT HOTEL GRAND CENTRAL TERMINAL,Comercial y Hoteles,Manhattan,-73.97610853162,40.751774738769
SAMUEL CITY HOUSES BUILDING 27,Residencial,Manhattan,-73.937793239778,40.818884522226
SAMUEL CITY HOUSES BUILDING 18,Residencial,Manhattan,-73.93959180387,40.820315943863
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,Educacion,Manhattan,-73.931132598329,40.84920529119
SAMUEL CITY HOUSES BUILDING 19,Residencial,Manhattan,-73.939308136371,40.82021278686
COLUMBIA UNIVERSITY SCHOOL OF SOCIAL WORK,Educacion,Manhattan,-73.958283018141,40.810195385797
LUTHER GULICK PLAYGROUND,Parques y Jardines,Manhattan,-73.981847238817,40.715860647974
BEEKMAN TOWER HOTEL,Comercial y Hoteles,Manhattan,-73.966000059093,40.753279381207
INWOOD HILL PARK PALISADES OVERLOOK,Parques y Jardines,Manhattan,-73.927229332197,40.873169542662
45 ALLEN STREET HOUSES,Residencial,Manhattan,-73.992241393376,40.716688689566
COLUMBIA UNIVERSITY HAMILTON HALL,Educacion,Manhattan,-73.961463891961,40.806742261484
CONCORDE HOTEL,Comercial y Hoteles,Manhattan,-73.970449872257,40.75996897199
GOVERNORS ISLAND THE YARD,Parques y Jardines,Manhattan,-74.014399132207,40.687995842552
BROWNSTONES HOUSES BUILDING 27,Residencial,Manhattan,-73.968264771131,40.788361467908
BLOOMINGDALES 59 ST STORE,Comercial y Hoteles,Manhattan,-73.966752941512,40.762022044921
CENTRAL PARK 79 ST MAINTENANCE YARD,Parques y Jardines,Manhattan,-73.971164376279,40.780467679995
MANHATTAN COMMUNITY COLLEGE PARKING LOT,Educacion,Manhattan,-74.011866198702,40.720100954632
CENTRAL PARK LOCH,Parques y Jardines,Manhattan,-73.956867263111,40.79504893625
CENTRAL PARK N MEADOW,Parques y Jardines,Manhattan,-73.957245221503,40.792312639001
HOLCOMBE RUCKER PARK PLAYGROUND,Parques y Jardines,Manhattan,-73.936586897289,40.829185687963
PARK TERRACE EAST TRAFFIC CIRCLE,Monumentos y Plazas,Manhattan,-73.918228816141,40.869661461032
CON ED E 74 ST,Comercial y Hoteles,Manhattan,-73.951964652716,40.768245673465
MARLTON HOTEL,Comercial y Hoteles,Manhattan,-73.996828920015,40.732627999107
MORNINGSIDE PARK S ENTRANCE,Parques y Jardines,Manhattan,-73.959657785637,40.801467985875
THE BRITISH INTERNATIONAL SCHOOL OF NY,Educacion,Manhattan,-73.972910913624,40.737856415861
SUPREME COURT CRIMINAL TERM 100 CENTRE ST,Administracion Publica,Manhattan,-74.001033646353,40.71604148535
PS 161 PEDRO ALBIZU CAMPOS,Educacion,Manhattan,-73.952653937881,40.817654499984
IVORY COAST VISA OFFICE,Administracion Publica,Manhattan,-73.97150715836,40.750164787044
DOROTHY K MCGOWAN MEMORIAL GARDEN,Parques y Jardines,Manhattan,-73.942311639587,40.833977598413
WASHINGTON HOUSES BUILDING 14,Residencial,Manhattan,-73.94479931367,40.7893651054
CLINTON HOUSES BUILDING 5,Residencial,Manhattan,-73.9481685234,40.791795695431
PIER 25 BEACH VOLLEYBALL COURT,Parques y Jardines,Manhattan,-74.014864813658,40.720400856259
ELECTRIC LADYBUG GARDEN,Parques y Jardines,Manhattan,-73.956332175097,40.800835315628
NEW YORK UNIVERSITY BARNEY BUILDING,Educacion,Manhattan,-73.988209058268,40.729805425993
RIVERBANK PARK FOOTBALL FIELD,Parques y Jardines,Manhattan,-73.95701787344,40.825064667512
POOR RICHARDS PLAYGROUND HANDBALL COURTS,Parques y Jardines,Manhattan,-73.942294824641,40.792465197345
BROWNSTONES HOUSES BUILDING 7,Residencial,Manhattan,-73.970167753153,40.791629573525
GREEK MISSION TO UN,Administracion Publica,Manhattan,-73.969916316868,40.752423847497
CENTRAL PARK GREAT LAWN S,Parques y Jardines,Manhattan,-73.967775353382,40.780098779003
PHILLIPS BETH ISRAEL SCHOOL OF NURSING,Educacion,Manhattan,-73.990946164604,40.744992569457
RAMON APONTE PARK,Parques y Jardines,Manhattan,-73.989432381945,40.761399657417
WHITEHALL BUILDING,Residencial,Manhattan,-73.970674103442,40.797398465072
DOUGLASS HOUSES BUILDING 4,Residencial,Manhattan,-73.964907521577,40.795671628542
HRA HASA CENTER WAVERLY,Administracion Publica,Manhattan,-73.99451855212,40.736177925244
DREAM MIDTOWN HOTEL,Comercial y Hoteles,Manhattan,-73.981902204869,40.764467566073
JACKIE ROBINSON PARK BANDSHELL,Parques y Jardines,Manhattan,-73.942259937212,40.825136382825
LANDMARK THEATRES W 57 ST,Cultura,Manhattan,-73.993613572187,40.771518507614
HIGH BRIDGE AQUEDUCT,Monumentos y Plazas,Manhattan,-73.931448781596,40.842430801458
EAST RIVER HOUSES GARAGE,Residencial,Manhattan,-73.940568270776,40.786629203423
PS 183 GYM BUILDING,Educacion,Manhattan,-73.95735485103,40.764048621244
BARUCH HOUSES ADDITION HOUSES,Residencial,Manhattan,-73.979309807203,40.717117875535
GAMBIA MISSION TO UN,Administracion Publica,Manhattan,-73.969176209834,40.750935687551
CITY KNOLL MIDDLE SCHOOL,Educacion,Manhattan,-73.98942124529,40.765899235006
PARAMOUNT PLAZA,Monumentos y Plazas,Manhattan,-73.984376183043,40.761949367227
HRA OCSS CENTER MANHATTAN STATEN ISLAND BOROUGH OFFICE,Administracion Publica,Manhattan,-73.993850226304,40.718589524898
VILLAGE VIEW CO-OP BUILDING 2,Residencial,Manhattan,-73.985065012937,40.725643516314
ALFRED E SMITH RECREATION CENTER,Parques y Jardines,Manhattan,-73.997537866037,40.710197071315
SEWARD PARK EDUCATIONAL CAMPUS,Educacion,Manhattan,-73.98923005061,40.717309827042
GOLDEN THEATRE,Cultura,Manhattan,-73.988002402278,40.758754707554
CHAD MISSION TO UN,Administracion Publica,Manhattan,-73.972111056392,40.750352108604
21 CLUB,Comercial y Hoteles,Manhattan,-73.977421621001,40.760481598371
ART & DESIGN HIGH SCHOOL,Educacion,Manhattan,-73.966452665124,40.759193792595
ROCKEFELLER UNIVERSITY FRICKE HALL,Educacion,Manhattan,-73.957016056067,40.761829336981
THIRD STREET MUSIC SCHOOL SETTLEMENT,Educacion,Manhattan,-73.987052589029,40.730835981231
FT WASHINGTON AVE ARMORY,Administracion Publica,Manhattan,-73.941789171959,40.842233870365
POOR RICHARDS PLAYGROUND COMFORT STATION,Parques y Jardines,Manhattan,-73.943109470005,40.792982622454
NEW YORK UNIVERSITY CANTOR FILM CENTER,Cultura,Manhattan,-73.994403400018,40.731231582719
THE BILINGUAL BICULTURAL SCHOOL,Educacion,Manhattan,-73.941911006712,40.793170771036
SOUTH STREET SEAPORT PILOT HOUSE,Monumentos y Plazas,Manhattan,-74.002971936734,40.705531576062
DOUGLASS II HOUSES,Residencial,Manhattan,-73.96611699475,40.796603018546
NEW YORK UNIVERSITY 838 BROADWAY,Educacion,Manhattan,-73.990767881115,40.733619859457
GRAMPION HOUSE,Residencial,Manhattan,-73.952485573672,40.806086104372
FIT FACULTY HALL,Educacion,Manhattan,-73.995789073535,40.7472859825
COLUMBIA UNIVERSITY COMPUTER SCIENCE,Educacion,Manhattan,-73.959880834751,40.809348560688
LINCOLN SPENCER APARTMENTS,Residencial,Manhattan,-73.981668730568,40.775971048337
EAST 107 ST RECREATIONAL PIER,Monumentos y Plazas,Manhattan,-73.936963923543,40.789208882789
NYC RIDING ACADEMY,Parques y Jardines,Manhattan,-73.934303148059,40.786691606374
TW MARINE,Parques y Jardines,Manhattan,-73.958634816699,40.759624743141
PS 128 AUDUBON,Educacion,Manhattan,-73.939054789972,40.841288806261
VIVIAN BEAUMONT THEATER,Cultura,Manhattan,-73.98449477964,40.773751793873
PARK CENTRAL HOTEL,Comercial y Hoteles,Manhattan,-73.981047929072,40.764665663332
ST DAVIDS SCHOOL,Educacion,Manhattan,-73.958241604252,40.782986807722
NEW YORK UNIVERSITY FURMAN HALL,Educacion,Manhattan,-73.998945469914,40.730123435261
NEW SCHOOL FANTON HALL WELCOME CENTER,Educacion,Manhattan,-73.994257927215,40.735544175319
ALEXANDRIA HOUSE BUILDING,Residencial,Manhattan,-73.969485695018,40.799366884402
TOWER EAST BUILDING,Residencial,Manhattan,-73.96109936249,40.769714111745
SAMUEL CITY HOUSES BUILDING 16,Residencial,Manhattan,-73.939488638592,40.820532426228
BARNARD COLLEGE REID HALL,Educacion,Manhattan,-73.964009512919,40.808415923578
REGIS HS,Educacion,Manhattan,-73.958947778657,40.779389389048
MARCUS GARVEY PLAYGROUND 124 ST NEAR MT MORRIS PARK W,Parques y Jardines,Manhattan,-73.943634122011,40.805925713295
CABRINI BOULEVARD MALLS,Parques y Jardines,Manhattan,-73.936399365524,40.858232214325
DRY DOCK POOL,Parques y Jardines,Manhattan,-73.975656669134,40.725261864363
ABC 320 W 66 ST,Comercial y Hoteles,Manhattan,-73.98850198147,40.776215433626
SETON HOTEL,Comercial y Hoteles,Manhattan,-73.976265106403,40.749701646828
GARDENS NYC AFFINIA HOTEL,Comercial y Hoteles,Manhattan,-73.96307979325,40.764378107924
NYC ALLIANCE AGAINST SEXUAL ASSAULT,Administracion Publica,Manhattan,-74.012952490837,40.705878739516
SUCCESS ACADEMY WASHINGTON HEIGHTS,Educacion,Manhattan,-73.935533088689,40.85792019619
CLINTON HOUSES,Residencial,Manhattan,-73.945416170098,40.794795730526
SUNKEN MEADOW FIELD 44,Residencial,Manhattan,-73.91612899252,40.795879347424
NEW YORK UNIVERSITY RUFUS D SMITH HALL,Educacion,Manhattan,-73.994844028244,40.730547447651
TEACHERS COLLEGE HORACE MANN HALL,Educacion,Manhattan,-73.961419483939,40.810729589523
CON EDISON 59 ST STATION,Comercial y Hoteles,Manhattan,-73.992886985986,40.772209761295
NYC KOREAN SCHOOL UPPER WEST CAMPUS,Educacion,Manhattan,-73.975661388011,40.785239561452
KITANO HOTEL,Comercial y Hoteles,Manhattan,-73.979904548026,40.749564534196
PIERRE HOTEL,Comercial y Hoteles,Manhattan,-73.971843378572,40.76522349069
THE MCCARTON CENTER FOR DEVELOPMENTAL PEDIATRICS,Educacion,Manhattan,-73.951873704319,40.77439190775
GREENWICH VILLAGE CENTER,Cultura,Manhattan,-73.999625881118,40.729405430209
CUBA MISSION TO UN,Administracion Publica,Manhattan,-73.977500071298,40.749090718937
CITY COLLEGE OF NY MORRIS COHEN LIBRARY,Cultura,Manhattan,-73.950526638778,40.819649405227
YORKVILLE LIBRARY,Cultura,Manhattan,-73.956373811017,40.773663894627
RITZ TOWER BUILDING,Residencial,Manhattan,-73.970259294366,40.761719470481
CLUB QUARTERS HOTEL WORLD TRADE CENTER,Comercial y Hoteles,Manhattan,-74.013920024722,40.709879883828
FT TRYON PARK CLOISTERS BUS STOP,Parques y Jardines,Manhattan,-73.931038454829,40.865235540406
PS 51 ELIAS HOWE,Educacion,Manhattan,-73.995739330682,40.761647545768
TAFT REHABS,Residencial,Manhattan,-73.952292365829,40.804342009444
SAMUEL CITY HOUSES BUILDING 49,Residencial,Manhattan,-73.937779414573,40.819570977459
PETER COOPER VILLAGE - 390 FA,Residencial,Manhattan,-73.978498003813,40.736217297653
SHERMAN MONUMENT,Parques y Jardines,Manhattan,-73.973067954412,40.764806562826
STUYVESANT TOWN 270 1 AV,Residencial,Manhattan,-73.981299933532,40.732234255702
PS 79 HORAN SCHOOL,Educacion,Manhattan,-73.94247409467,40.802676431026
CPF PLAYGROUND,Parques y Jardines,Manhattan,-73.93389320935,40.84197936293
DENMARK CONSULATE & MISSION TO UN,Administracion Publica,Manhattan,-73.970023090053,40.75361659698
STUYVESANT TOWN - 278 FA/ 276 FA/ 274 FA/ 272 FA,Residencial,Manhattan,-73.980061921059,40.732751578265
KING TOWERS BUILDING 4,Residencial,Manhattan,-73.947586738505,40.799813501071
GOUVERNEUR GARDENS BUILDING 5,Residencial,Manhattan,-73.982252604945,40.711090002481
BARUCH HOUSES BUILDING 4,Residencial,Manhattan,-73.976712666208,40.715822561257
LENOX TERRACE HOUSES AREA,Residencial,Manhattan,-73.939931554303,40.812056362205
ARTHUR A SCHOMBURG PLAZA II BUILDING,Residencial,Manhattan,-73.948679540788,40.797208076153
BARUCH HOUSES BUILDING 9,Residencial,Manhattan,-73.977000426701,40.718809322691
MANHATTAN COMMUNITY BOARD 2,Administracion Publica,Manhattan,-73.998314433007,40.72800683804
DRYDEN EAST BUILDING,Residencial,Manhattan,-73.976535644337,40.748985532113
BROWNSTONES HOUSES BUILDING 34,Residencial,Manhattan,-73.969456548485,40.788034623236
ISHAM PARK MANSION ENTRANCE,Parques y Jardines,Manhattan,-73.919731534916,40.869727267726
STUYVESANT TOWN 521 E 14 523 E 14 525 E 14,Residencial,Manhattan,-73.978478622338,40.730606077477
LOWER EAST SIDE REHAB (GROUP 5) BUILDING 2,Residencial,Manhattan,-73.979200099111,40.72396589422
TREVOR DAY SCHOOL W 88 ST,Educacion,Manhattan,-73.968853736957,40.787010316988
ARGENTINA MISSION TO UN,Administracion Publica,Manhattan,-73.969046956706,40.750424716716
ROCKEFELLER UNIVERSITY PHILOSOPHERS GARDEN,Educacion,Manhattan,-73.955670423266,40.763560674465
ARTISTS SPACE,Cultura,Manhattan,-74.00332774225,40.7188613984
PORT LIFE GALLERY,Cultura,Manhattan,-74.003547828831,40.707327097488
ELLIOTT HOUSES BUILDING 3,Residencial,Manhattan,-74.002109764326,40.7489398745
NEW YORK UNIVERSITY 19 WASHINGTON SQ N,Educacion,Manhattan,-73.997572960249,40.73191121653
TEACHERS COLLEGE MACY HALL,Educacion,Manhattan,-73.9603844686,40.81053529682
CITY COLLEGE WINGATE HALL,Educacion,Manhattan,-73.949792058018,40.820653853043
DOMINICA MISSION TO UN,Administracion Publica,Manhattan,-73.971708658033,40.749988543083
ROCKEFELLER UNIVERSITY SMITH HALL ANNEX,Educacion,Manhattan,-73.954456268926,40.763061535976
HIGH SCHOOL FOR MATHEMATICS SCIENCE & ENGINEERING AT CITY COLLEGE,Educacion,Manhattan,-73.948899162819,40.821403571104
